PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
1,26.11965008,31.92,17.3,22.31,1379.2,24.72364069
1.09,30.05847259,32.88,17.13,22.11,1379.2,24.94876375
1.11,30.97274678,32.91,17.19,22.14,1379.2,25.13797789
1.11,30.97274678,32.56,17.29,22.3,1379.2,25.35052638
1.1,30.51390792,32.13,17.39,22.48,1034.4,25.5538854
1.09,30.05847259,31.86,17.48,22.62,689.6,25.68864957
1.11,30.97274678,31.86,17.51,22.62,1034.4,25.80672653
1.16,33.3163421,32.15,17.53,22.65,1379.2,26.06435608
1.24,37.22469496,32.61,17.48,22.63,1379.2,26.41835232
1.3,40.26842001,32.99,17.46,22.61,1379.2,26.71495902
1.32,41.30161182,33.13,17.48,22.57,1379.2,26.80884906
1.26,38.22940968,32.64,17.51,22.64,1379.2,26.60573663
0.97,24.87368374,31.69,17.27,22.3,1379.2,24.56569227
1.08,29.6064854,32.84,17.15,22.13,1379.2,24.90509572
1.1,30.51390792,32.75,17.21,22.19,1379.2,25.13420315
1.1,30.51390792,32.35,17.31,22.37,1379.2,25.37823068
1.1,30.51390792,32.08,17.45,22.51,1034.4,25.59623072
1.12,31.4349433,32.01,17.48,22.59,689.6,25.79666847
1.25,37.72576418,32.81,17.46,22.56,1034.4,26.35249376
1.4,45.51180659,33.92,17.41,22.45,1379.2,26.94468943
1.48,49.81497132,34.41,17.4,22.41,1379.2,27.25841281
1.44,47.6544678,33.95,17.45,22.53,1379.2,27.24928295
1.39,44.97957596,33.3,17.51,22.66,1379.2,27.22842018
1.39,44.97957596,33.29,17.55,22.71,1379.2,27.25629643
1.07,29.15798964,32.31,17.28,22.29,1379.2,25.0839037
1.1,30.51390792,32.53,17.29,22.28,1379.2,25.25838473
1.11,30.97274678,32.37,17.34,22.36,1379.2,25.44001766
1.11,30.97274678,32.2,17.4,22.48,1379.2,25.61536641
1.12,31.4349433,32.02,17.46,22.57,1034.4,25.76192318
1.11,30.97274678,31.76,17.59,22.7,689.6,25.91480757
1.21,35.73758281,32.31,17.54,22.7,1034.4,26.36469765
1.42,46.58055889,33.93,17.45,22.51,1379.2,27.08799973
1.57,54.71137545,35.17,17.35,22.37,1379.2,27.59837467
1.6,56.34531168,35.22,17.32,22.4,1379.2,27.77048762
1.52,51.98759909,34.37,17.44,22.51,1379.2,27.62388923
1.49,50.35722,33.99,17.51,22.61,1379.2,27.63880908
1.06,28.71302734,32.27,17.31,22.28,1379.2,25.07664009
1.1,30.51390792,32.51,17.26,22.27,1379.2,25.27395399
1.11,30.97274678,32.3,17.37,22.41,1379.2,25.47000471
1.11,30.97274678,32.14,17.43,22.49,1379.2,25.64554991
1.12,31.4349433,31.98,17.51,22.59,1034.4,25.80369483
1.13,31.90045026,31.9,17.55,22.69,689.6,25.94535905
1.24,37.22469496,32.6,17.51,22.62,1034.4,26.43059633
1.38,44.4488865,33.58,17.49,22.54,1379.2,26.98691739
1.46,48.73284118,34.08,17.46,22.55,1379.2,27.35930052
1.48,49.81497132,33.98,17.47,22.61,1379.2,27.54319428
1.5,50.90013592,33.97,17.55,22.67,1379.2,27.72930025
1.47,49.27348147,33.73,17.57,22.66,1379.2,27.63238497
