CLO,MET,WME,TA,TR,VEL,RH,PA,APA
1,0.9,0,29.1,30.7,0.1,45,0,101.325
0.5,1.1,0,24.3,31.9,0.1,77,0,101.325
1,1.1,0,25.7,31.1,0.8,64,0,101.325
0.5,1.1,0,27.3,25.5,0.1,43,0,101.325
1,0.9,0,21.5,24.9,0.05,46,0,101.325
1,1.1,0,24.5,25.1,0.1,72,0,101.325
0.5,0.9,0,27.5,26.7,0.3,57,0,101.325
0.5,0.9,0,28.5,24.7,0.1,72,0,101.325
1,1.1,0,23.3,20.7,0.3,59,0,101.325
1,1.1,0,28.7,28.7,0.05,42,0,101.325
0.5,0.9,0,18.3,27.3,0.05,52,0,101.325
1,0.9,0,21.9,22.5,0.05,48,0,101.325
1,1.1,0,19.9,21.1,0.1,54,0,101.325
0.5,0.9,0,22.1,23.3,0.1,48,0,101.325
0.5,0.9,0,19.5,30.3,0.05,56,0,101.325
1,0.9,0,20.1,27.5,0.05,44,0,101.325
0.5,1.1,0,23.5,31.3,0.8,69,0,101.325
0.5,0.9,0,18.9,29.7,0.05,63,0,101.325
1,0.9,0,26.5,20.9,0.3,49,0,101.325
1,0.9,0,24.7,25.9,0.5,44,0,101.325
