CLO,MET,WME,TA,TR,VEL,RH,PA,APA
0.5,1.1,0,26.3,24.3,0.3,66,0,101.325
0.5,0.9,0,20.5,23.7,0.1,42,0,101.325
1,0.9,0,28.1,22.9,0.1,68,0,101.325
1,1.1,0,19.3,23.5,0.1,78,0,101.325
1,1.1,0,25.9,29.1,0.1,50,0,101.325
1,0.9,0,23.7,23.9,0.3,74,0,101.325
0.5,0.9,0,19.7,26.9,0.1,62,0,101.325
0.5,1.1,0,27.7,20.3,0.5,78,0,101.325
0.5,1.1,0,19.1,27.7,0.1,47,0,101.325
1,1.1,0,29.7,26.5,0.1,67,0,101.325
1,1.1,0,29.5,21.9,0.1,62,0,101.325
1,0.9,0,20.9,28.5,0.8,68,0,101.325
1,0.9,0,27.9,25.3,0.1,73,0,101.325
0.5,1.1,0,21.3,28.3,0.3,79,0,101.325
1,0.9,0,22.3,22.7,0.3,53,0,101.325
1,1.1,0,24.9,30.9,0.3,76,0,101.325
0.5,0.9,0,22.5,22.3,0.5,76,0,101.325
0.5,1.1,0,23.9,24.1,0.5,52,0,101.325
0.5,1.1,0,20.7,31.7,0.3,40,0,101.325
0.5,0.9,0,20.3,26.3,0.05,56,0,101.325
