"PMV","PPD [%]","SET [oC]","TO [oC]","TO inferior [oC]","TO superior [oC]"
0.36,8,26,26.4,23.9,26.9
-1.73,63,22.3,21.94,24.6,28
-0.27,7,24.7,26.86,25.6,28.6
-0.36,8,23.4,23.9,23.6,26.6
0.36,8,27.4,27.08,24.8,28.1
-1.12,31,23.6,24.5,25.7,28
1.36,43,29.5,29.3,23.8,26.8
-1.31,41,23.1,23.82,25.1,28.2
0.18,6,26.1,27.38,25.1,28.2
0.49,10,27.8,27.9,25.6,27.9
-1.08,30,21.5,21.9,23.5,26.4
0.23,6,26.9,23.4,20.2,24.3
-2.41,91,19.6,21.4,26.1,28.5
-0.33,7,24.8,25.08,24.8,28
-0.43,9,24.8,23.7,25,26.7
0.5,10,27.6,26.5,23.3,26.2
0.77,17,28.4,25.2,20.2,24.3
1.7,62,32.6,28.6,19.9,23.8
0.51,10,28.3,26.7,23.3,26.6
-2.13,82,21.4,21.1,25,28.2
